SimID,alpha,scalar,orthogroups,all_species_single_copy,unassigned_genes,percentage_unassigned,mean_orthogroup_size,median_orthogroup_size
133,0.738468351,4.0552,54681,261,41277,9.4,7.3,2
134,0.87737894,4.0641,74756,0,81095,18.4,4.8,2
135,1.020037788,4.1106,72935,0,88718,20.2,4.8,2
136,0.611758496,4.1279,34799,2591,21343,4.9,12,2
137,0.952634813,4.1538,75311,0,87882,20,4.7,2
138,0.87307016,4.1998,68905,9,68309,15.5,5.4,2
139,0.678353149,4.2717,37881,1830,24980,5.7,11,2
140,0.682795326,4.3296,51433,530,38465,8.7,7.8,2
141,0.868957921,4.3919,66887,3,67893,15.4,5.6,2
142,1.045700039,4.42,74996,0,102739,23.3,4.5,2
143,0.995088373,4.4512,75183,0,105214,23.9,4.5,2
144,0.654085725,4.5203,49701,578,37146,8.4,8.1,2
145,1.049912085,4.5719,82647,0,149707,34,3.5,2
146,1.062873471,4.6125,74886,0,111454,25.3,4.3,2
147,0.588784409,4.6273,47757,1068,35206,8,8.5,2
148,0.640209582,4.6807,59054,264,47702,10.8,6.6,2
149,0.828980691,4.7156,79029,1,97892,22.2,4.3,2
150,0.837089222,4.7501,77246,0,94120,21.4,4.5,2
151,1.364187024,4.7957,81750,0,176477,40.1,3.2,2
152,1.269661284,4.852,83358,0,187355,42.6,3,2
153,0.670079243,4.8891,61549,90,53223,12.1,6.3,2
154,0.669504812,4.9421,54857,259,44381,10.1,7.2,2
155,0.800556972,4.9722,77518,1,96338,21.9,4.4,2
156,1.340698803,5.024,82562,0,203710,46.3,2.9,2
157,1.248921199,5.058,81984,0,196699,44.7,3,2
158,0.908296208,5.1314,85123,0,154322,35.1,3.4,2
159,1.799012845,5.194,76732,0,249532,56.7,2.5,2
160,0.981587175,5.2697,84600,0,172008,39.1,3.2,2
161,0.491554239,5.3098,33621,3016,21852,5,12.4,2
162,0.475136836,5.3744,29988,4025,19310,4.4,14,3
163,1.013765051,5.4274,84355,0,183994,41.8,3,2
164,0.953524308,5.4515,83499,0,163372,37.1,3.3,2
165,0.501039088,5.508,30987,3630,20474,4.7,13.5,3
166,0.667545648,5.5807,80073,3,94633,21.5,4.3,2
167,0.407165499,5.6478,23494,5964,14139,3.2,18.1,4
168,0.967335066,5.684,83775,0,180706,41.1,3.1,2
169,1.325856996,5.7018,75968,0,251674,57.2,2.5,2
170,0.882435528,5.7484,83695,0,155941,35.4,3.4,2
171,0.839615073,5.8258,82816,0,138852,31.6,3.6,2
172,0.806425033,5.8958,83136,0,137099,31.2,3.6,2
173,0.924768293,5.9671,84337,0,186347,42.4,3,2
174,1.273835527,6.0327,78677,0,234854,53.4,2.6,2
175,0.651001978,6.2019,75098,4,91345,20.8,4.6,2
176,0.701265542,6.3739,75582,1,95019,21.6,4.6,2
177,0.720522287,6.4531,82508,0,123296,28,3.8,2
178,0.582524898,6.4878,57583,249,54119,12.3,6.7,2
179,0.635388738,6.5557,78466,2,95817,21.8,4.4,2
180,1.344277666,6.6418,66508,0,286772,65.2,2.3,2
181,1.019831882,6.678,78834,0,235075,53.4,2.6,2
182,0.651001978,6.8122,76754,1,99115,22.5,4.4,2
183,0.927346997,6.9134,80714,0,223973,50.9,2.7,2
184,1.131671017,7.031,71133,0,269721,61.3,2.4,2
185,0.589649717,7.1347,74009,15,86429,19.6,4.8,2
186,0.539682539,7.2894,64846,152,64021,14.6,5.8,2
187,0.937770822,7.5767,73752,0,258989,58.9,2.5,2
188,1.028744228,7.6596,69079,0,276459,62.8,2.4,2
189,0.372677433,7.7178,28383,4549,19865,4.5,14.8,3
190,0.932450843,7.8498,74458,0,254956,57.9,2.5,2
191,0.883977524,7.9894,76012,0,248940,56.6,2.5,2
192,0.82183738,8.1176,80812,0,203229,46.2,2.9,2
193,0.603193982,8.2518,82635,0,127785,29,3.8,2
194,0.442394298,8.4907,59007,456,56983,13,6.5,2
195,1.878062936,8.5534,31920,0,375420,85.3,2,2
196,0.989399901,8.9285,59224,0,306500,69.7,2.3,2
197,0.596538929,9.1006,84737,0,161188,36.6,3.3,2
198,0.442394298,9.6217,75053,53,85648,19.5,4.7,2
199,0.954897524,9.8125,66622,0,283682,64.5,2.3,2
63,1.471698323,10.5098,27918,0,383683,87.2,2,2
64,1.390466716,10.7557,24280,0,391156,88.9,2,2
65,0.865380229,11.1803,64048,0,290697,66,2.3,2
66,0.855779381,11.3626,54079,0,319873,72.7,2.2,2
67,1.037831087,11.8922,37337,0,362387,82.4,2.1,2
68,0.955205204,14.1267,31042,0,376595,85.6,2,2
69,0.746268224,15.1315,45065,0,342700,77.9,2.2,2
